Wikipedia namein native language,Language,Script (ISO15924 code),WPcode,Activeusers,Launch date,Logo
Wikipèḍia bhâsa Madhurâ,Madurese,Latn,mad,43,Unknown date,
Nordfriisk Wikipedia,North Frisian,Latn,frr,43,Unknown date,
Wikipedia en łéngoa vèneta,Venetian,Latn,vec,43,Unknown date,
Wikipedia Sesotho,Sotho,Latn,st,42,Unknown date,
Wikipediya Luganda,Luganda,Latn,lg,41,Unknown date,
Wikipedia an piemontèisa,Piedmontese,Latn,pms,41,27 March 2006,
יידישע וויקיפעדיע(Yidishe vikipedye),Yiddish,Hebr,yi,41,4 March 2004,
Русиньска Вікіпедія(Rusîn'ska Vikipedija),Rusyn,Cyrl,rue,40,23 January 2011,
Сахалыы Бикипиэдьийэ(Sahalyy Bikipieçje),Yakut,Cyrl,sah,40,26 May 2008,
ᱥᱟᱱᱛᱟᱲᱤ ᱣᱤᱠᱤᱯᱤᱰᱤᱭᱟ(Santaṛi wikipiḍiya),Santali,Olck,sat,40,2 August 2018,
Արեւմտահայերէն Ուիքիփետիա(Arevmdahayerēn Uikʿipʿetia),Western Armenian,Armn,hyw,40,1 April 2019,
Wikipedia amin'ny teny malagasy,Malagasy,Latn,mg,39,April 2004 (unknown day),
مازرونی ویکی‌پدیا(Mazandarani vikipedi),Mazanderani,Arab,mzn,39,Unknown date,
Wikipedia Minangkabau,Minangkabau,Latn,min,39,7 February 2013,
Wikipèdia bahsa Acèh,Acehnese,Latn,ace,38,12 August 2009,
Wikipedija Malti,Maltese,Latn,mt,38,10 September 2004,
Wikipidia Twi,Twi,Latn,tw,38,Unknown date,
Wikipidia Dagbani,Dagbani,Latn,dag,37,Unknown date,
Wikipedia Dusun,Dusun,Latn,dtp,37,Unknown date,
Fante Wikipedia,Fante,Latn,fat,37,Unknown date,
Wikipedia in interlingua,Interlingua,Latn,ia,37,29 April 2002,
Wikipedia Ligure,Ligurian,Latn,lij,37,Unknown date,
سنڌي وڪيپيڊيا(Sindhi wikipidia),Sindhi,Arab,sd,37,6 February 2006,
Аԥсуа авикипедиа(Apsua avikipedia),Abkhaz,Cyrl,ab,36,Unknown date,
Wikipiɖia Eʋegbe,Ewe,Latn,ee,36,Unknown date,
Wikipídiya Igala,Igala,Latn,igl,36,Unknown date,
Limburgse Wikipedia,Limburgish,Latn,li,36,August 2004 (unknown day),
მარგალური ვიკიპედია(Margaluri vik’ip’edia),Mingrelian,Geor,xmf,36,12 June 2011,
Corsipedia or Wikipedia in lingua corsa,Corsican,Latn,co,35,9 December 2003,
ᐃᓄᒃᑎᑐᑦ ᐊᕆᐅᙵᐃᐹ(Uikipitia inuktitut),Inuktitut,Cans,iu,35,Unknown date,
Vükiped Volapükik,Volapük,Latn,vo,35,27 January 2004,
Wikipedia in Interlingue,Interlingue,Latn,ie,34,Unknown date,
Wikipidia basa Banjar,Banjarese,Latn,bjn,33,17 October 2010,
Vicipedia en lingua franca nova,Lingua Franca Nova,Latn,lfn,33,Unknown date,
Wikipedia in sardu,Sardinian,Latn,sc,33,April 2004 (unknown day),
Wukipedia nTyap,Tyap,Latn,kcg,33,Unknown date,
Nedersaksische Wikipedie,Dutch Low Saxon,Latn,nds-nl,33,24 March 2006,
Žemaitėška Vikipedėjė,Samogitian,Latn,bat-smg,33,25 March 2006,
Wikipediang Kapampángan,Kapampangan,Latn,pam,31,2005 (unknown date),
ᏫᎩᏇᏗᏯ ᏣᎳᎩ(Wigiquediya tsalagi),Cherokee,Cher,chr,30,May 2004 (unknown day),
Pha̍k-fa-sṳ: Hakkâpediaor Hak-kâ-ngî Wikipedia,Hakka Chinese,Latn,hak,30,27 May 2007,
Dolnoserbska wikipedija,Lower Sorbian,Latn,dsb,30,Unknown date,
Wikipedia napulitana,Neapolitan,Latn,nap,30,21 December 2006,
Ирон Википеди(Iron Vikipedi),Ossetian,Cyrl,os,30,28 February 2005,
ತುಳು ವಿಕಿಪೀಡಿಯ(Tuḷu vikipīḍiya),Tulu,Knda,tcy,30,6 August 2016,
Bàng-uâ-cê: Bànguâpediaor Mìng-dĕ̤ng-ngṳ̄ Wikipedia,Eastern Min,Latn,cdo,29,30 September 2006,
Vouiquipèdia en arpetan,Franco-Provençal,Latn,frp,29,24 March 2006,
Hawai‘i Wikipikia,Hawaiian,Latn,haw,29,Unknown date,
ⵡⵉⴽⵉⴱⵉⴷⵢⴰ ⵜⴰⵎⴰⵣⵉⵖⵜ ⵜⴰⵏⴰⵡⴰⵢⵜ(Wikibidya tamaziɣt tanawayt),Standard Moroccan Amazigh,Tfng,zgh,29,Unknown date,
Словѣньска Википєдїꙗ(Slověnĭska Vikipedija),Old Church Slavonic,Cyrs,cu,29,Unknown date,
Wikipedia Setswana,Tswana,Latn,tn,29,Unknown date,
Wikipedya Kernowek,Cornish,Latn,kw,28,Unknown date,
Vichipedie par furlan,Friulian,Latn,fur,28,25 January 2005,
ວິກິພີເດຍ ພາສາລາວ(Wi ki phī dīa phasa lao),Lao,Laoo,lo,28,Unknown date,
Wikipedia Māori,Māori,Latn,mi,28,2003 (unknown date),
Hornjoserbska wikipedija,Upper Sorbian,Latn,hsb,28,2 October 2006,
Wikipedia isiXhosa,Xhosa,Latn,xh,28,Unknown date,
Wikipediyay Zazaki,Zaza,Latn,diq,28,Unknown date,
Vikipetã avañe'ẽme,Guarani,Latn,gn,28,Unknown date,
Wikipedia per ladin,Ladin,Latn,lld,28,17 August 2020,
Uicipeid na Gàidhlig,Scottish Gaelic,Latn,gd,28,September 2003 (unknown day),
"Traditional Chinese: 贛語維基百科,simplified Chinese: 赣语维基百科(Pha̍k-oa-chhi: Gon wéijī bǎikē)",Gan Chinese,Hans/Hant,gan,27,27 May 2008,
Oromoo Wikipedia,Oromo,Latn,om,27,Unknown date,
Wikipedia na papiamentu,Papiamento,Latn,pap,27,Unknown date,
Vepsän Vikipedii,Veps,Latn,vep,27,1 February 2012,
Wikipedia e walon,Walloon,Latn,wa,27,20 July 2003,
Коми Википедия(Komi Vikipedija),Komi,Cyrl,kv,26,August 2004 (unknown day),
ދިވެހި ވިކިޕީޑިޔާ(Dhivehi vikipīḍiyā),Maldivian,Thaa,dv,26,28 August 2004,
བོད་ཡིག་གི་ཝེ་ཁེ་རིག་མཛོད(Wylie: Bod yig gi we khe rig mdzod),Central Tibetan (Lhasa Tibetan),Tibt,bo,26,Unknown date,
Wikipedia Chitumbuka,Tumbuka,Latn,tum,26,Unknown date,
Türkmençe Wikipediýa,Turkmen,Latn,tk,26,16 February 2004,
